0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
0 2.021126E+02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1000 1.228196E+03 1.100000E+01 1.000000E+01 2.000000E+00 3.000000E+00 1.300000E+01 1.300000E+01
1250 1.228229E+03 1.193000E+01 1.193000E+01 3.000000E+00 3.000000E+00 1.493000E+01 1.493000E+01
1500 1.228253E+03 1.239000E+01 1.239000E+01 3.000000E+00 3.000000E+00 1.539000E+01 1.539000E+01
1750 1.228275E+03 1.300000E+01 1.300000E+01 3.000000E+00 3.000000E+00 1.600000E+01 1.600000E+01
2000 1.228296E+03 1.300000E+01 1.300000E+01 3.000000E+00 3.000000E+00 1.600000E+01 1.600000E+01
2250 1.228307E+03 1.500000E+01 1.500000E+01 3.000000E+00 3.000000E+00 1.800000E+01 1.800000E+01
2500 1.228310E+03 1.615000E+01 1.815000E+01 5.000000E+00 3.000000E+00 2.115000E+01 2.115000E+01
2750 1.228310E+03 1.805000E+01 2.012000E+01 5.090000E+00 3.020000E+00 2.314000E+01 2.314000E+01
3000 1.228310E+03 1.900000E+01 2.106000E+01 5.060000E+00 3.000000E+00 2.406000E+01 2.406000E+01
3250 1.228310E+03 2.000000E+01 2.100000E+01 5.000000E+00 4.000000E+00 2.500000E+01 2.500000E+01
3500 1.228310E+03 2.201000E+01 2.301000E+01 5.000000E+00 4.000000E+00 2.701000E+01 2.701000E+01
3750 1.228311E+03 2.303000E+01 2.403000E+01 5.000000E+00 4.000000E+00 2.803000E+01 2.803000E+01
4000 1.228311E+03 2.300000E+01 2.400000E+01 5.000000E+00 4.000000E+00 2.800000E+01 2.800000E+01
4250 1.228311E+03 2.400000E+01 2.540000E+01 5.400000E+00 4.000000E+00 2.940000E+01 2.940000E+01
4500 1.228311E+03 2.401000E+01 2.501000E+01 5.000000E+00 4.000000E+00 2.901000E+01 2.901000E+01
4750 1.228311E+03 2.400000E+01 2.500000E+01 5.000000E+00 4.000000E+00 2.900000E+01 2.900000E+01
5000 1.228311E+03 2.400000E+01 2.500000E+01 5.000000E+00 4.000000E+00 2.900000E+01 2.900000E+01
5250 1.228311E+03 2.400000E+01 2.500000E+01 5.000000E+00 4.000000E+00 2.900000E+01 2.900000E+01
5500 1.228311E+03 2.400000E+01 2.500000E+01 5.000000E+00 4.000000E+00 2.900000E+01 2.900000E+01
5750 1.228311E+03 2.400000E+01 2.500000E+01 5.000000E+00 4.000000E+00 2.900000E+01 2.900000E+01
6000 1.228311E+03 2.400000E+01 2.500000E+01 5.000000E+00 4.000000E+00 2.900000E+01 2.900000E+01
6250 1.228311E+03 2.400000E+01 2.500000E+01 5.000000E+00 4.000000E+00 2.900000E+01 2.900000E+01
6500 1.228311E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
6750 1.228311E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
7000 1.228311E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
7250 1.228311E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
7500 1.228311E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
7750 1.228311E+03 2.501000E+01 2.600000E+01 5.000000E+00 4.010000E+00 3.001000E+01 3.001000E+01
8000 1.228312E+03 2.503000E+01 2.603000E+01 5.000000E+00 4.000000E+00 3.003000E+01 3.003000E+01
8250 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
8500 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
8750 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
9000 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
9250 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
9500 1.228312E+03 2.501000E+01 2.601000E+01 5.000000E+00 4.000000E+00 3.001000E+01 3.001000E+01
9750 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
10000 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
10500 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
11000 1.228312E+03 2.500000E+01 2.600000E+01 5.000000E+00 4.000000E+00 3.000000E+01 3.000000E+01
11500 1.228312E+03 2.500000E+01 2.700000E+01 6.000000E+00 4.000000E+00 3.100000E+01 3.100000E+01
12000 1.228312E+03 2.500000E+01 2.700000E+01 6.000000E+00 4.000000E+00 3.100000E+01 3.100000E+01
12500 1.228312E+03 2.500000E+01 2.796000E+01 6.960000E+00 4.000000E+00 3.196000E+01 3.196000E+01
13000 1.228312E+03 2.500000E+01 2.800000E+01 8.000000E+00 5.000000E+00 3.300000E+01 3.300000E+01
13500 1.228313E+03 2.502000E+01 2.801000E+01 8.000000E+00 5.010000E+00 3.302000E+01 3.302000E+01
14000 1.228313E+03 2.500000E+01 2.800000E+01 9.000000E+00 6.000000E+00 3.400000E+01 3.400000E+01
